SYNSET_ID	TEXT	PARENTS	PARENT_TEXTS
135119-V	ТИРАЖИРОВАТЬ; РАСТИРАЖИРОВАТЬ	["106640-V", "114107-V", "114108-V", "110447-V"]	["УВЕЛИЧИВАТЬ; ДОУВЕЛИЧИВАТЬ; УВЕЛИЧИТЬ", "РАЗМНОЖАТЬ; РАЗМНОЖИТЬ", "ПЕЧАТАТЬ; ПЕЧАТАТЬСЯ; ДОПЕЧАТАТЬ; ДОПЕЧАТЫВАТЬ; ПРОПЕЧАТЫВАТЬ; НАПЕЧАТАТЬ; ПРОПЕЧАТАТЬ; ОТПЕЧАТАТЬ; ОТПЕЧАТЫВАТЬ", "ВОСПРОИЗВОДИТЬ; ВОСПРОИЗВЕСТИ"]
116350-V	РАСПЕЧАТАТЬ; РАСПЕЧАТЫВАТЬ; РАСПЕЧАТЫВАТЬСЯ; РАСПЕЧАТАТЬ С НОСИТЕЛЯ ИНФОРМАЦИИ	["114107-V", "114108-V", "110447-V"]	["РАЗМНОЖАТЬ; РАЗМНОЖИТЬ", "ПЕЧАТАТЬ; ПЕЧАТАТЬСЯ; ДОПЕЧАТАТЬ; ДОПЕЧАТЫВАТЬ; ПРОПЕЧАТЫВАТЬ; НАПЕЧАТАТЬ; ПРОПЕЧАТАТЬ; ОТПЕЧАТАТЬ; ОТПЕЧАТЫВАТЬ", "ВОСПРОИЗВОДИТЬ; ВОСПРОИЗВЕСТИ"]
116617-V	НАПЕЧАТАТЬ ЗАНОВО; ПЕРЕПЕЧАТАТЬ ЗАНОВО; ПЕРЕПЕЧАТЫВАТЬ; ПЕРЕПЕЧАТАТЬ	["144051-V", "1359-V"]	["ВЫХОДИТЬ ИЗ ПЕЧАТИ; ПЕЧАТАТЬ; НАПЕЧАТАТЬ; ИЗДАТЬ; ИЗДАВАТЬСЯ; ИЗДАВАТЬ; ВЫЙТИ ИЗ ПЕЧАТИ", "ПУБЛИКОВАТЬ СВЕДЕНИЯ; ОПУБЛИКОВАТЬ; ОБНАРОДОВАТЬ; ВЫПУСТИТЬ В СВЕТ; ВЫПУСКАТЬ В СВЕТ; ПОМЕСТИТЬ ПУБЛИКАЦИЮ; ВЫЙТИ В СВЕТ; ПОМЕЩАТЬ ПУБЛИКАЦИЮ; ОПУБЛИКОВЫВАТЬ; ПЕЧАТАТЬСЯ; ВЫХОДИТЬ В СВЕТ; ПОМЕЩАТЬ; ПОМЕСТИТЬ; ОПУБЛИКОВАТЬ СВЕДЕНИЯ; ПУБЛИКОВАТЬ; ОПУБЛИКОВАТЬСЯ"]
116617-V	НАПЕЧАТАТЬ ЗАНОВО; ПЕРЕПЕЧАТАТЬ ЗАНОВО; ПЕРЕПЕЧАТЫВАТЬ; ПЕРЕПЕЧАТАТЬ	["114107-V", "114108-V", "110447-V"]	["РАЗМНОЖАТЬ; РАЗМНОЖИТЬ", "ПЕЧАТАТЬ; ПЕЧАТАТЬСЯ; ДОПЕЧАТАТЬ; ДОПЕЧАТЫВАТЬ; ПРОПЕЧАТЫВАТЬ; НАПЕЧАТАТЬ; ПРОПЕЧАТАТЬ; ОТПЕЧАТАТЬ; ОТПЕЧАТЫВАТЬ", "ВОСПРОИЗВОДИТЬ; ВОСПРОИЗВЕСТИ"]
154207-V	ПЕРЕПЕЧАТАТЬ; ПЕРЕПЕЧАТЫВАТЬ	["114107-V", "111619-V", "114108-V", "110447-V"]	["РАЗМНОЖАТЬ; РАЗМНОЖИТЬ", "СКОПИРОВАТЬ; ДЕЛАТЬ КОПИЮ; КОПИРОВАТЬ; СДЕЛАТЬ КОПИЮ; СНИМАТЬ КОПИЮ; СНЯТЬ КОПИЮ", "ПЕЧАТАТЬ; ПЕЧАТАТЬСЯ; ДОПЕЧАТАТЬ; ДОПЕЧАТЫВАТЬ; ПРОПЕЧАТЫВАТЬ; НАПЕЧАТАТЬ; ПРОПЕЧАТАТЬ; ОТПЕЧАТАТЬ; ОТПЕЧАТЫВАТЬ", "ВОСПРОИЗВОДИТЬ; ВОСПРОИЗВЕСТИ"]
118634-V	ПРИДУМЫВАТЬ; НАПРИДУМЫВАТЬ; НАСОЧИНЯТЬ; НАДУМЫВАТЬ; ИЗ ПАЛЬЦА ВЫСОСАТЬ; ИЗМЫШЛЯТЬ; ИЗМЫСЛИТЬ; ДОСОЧИНЯТЬ; ВЫСОСАТЬ ИЗ ПАЛЬЦА; НАФАНТАЗИРОВАТЬ; ПРИДУМАТЬ; НАПРИДУМАТЬ; ПРИМЫСЛИТЬ; ПРИМЫШЛЯТЬ; СОЧИНИТЬ; СОЧИНЯТЬ; ВЫМЫСЛИТЬ; ФАНТАЗИРОВАТЬ; ВЫДУМЫВАТЬ; ВЫДУМАТЬ	["107199-V", "118572-V"]	["ОШИБОЧНО ПРЕДПОЛАГАТЬ; ОШИБИТЬСЯ В МНЕНИИ; ОШИБИТЬСЯ В ПРЕДПОЛОЖЕНИИ; ИМЕТЬ ЛОЖНОЕ МНЕНИЕ; ЗАБЛУЖДАТЬСЯ; БЫТЬ В ЗАБЛУЖДЕНИИ; ОШИБОЧНО ПРЕДПОЛОЖИТЬ", "ВООБРАЖАТЬ; ВООБРАЗИТЬ"]
118634-V	ПРИДУМЫВАТЬ; НАПРИДУМЫВАТЬ; НАСОЧИНЯТЬ; НАДУМЫВАТЬ; ИЗ ПАЛЬЦА ВЫСОСАТЬ; ИЗМЫШЛЯТЬ; ИЗМЫСЛИТЬ; ДОСОЧИНЯТЬ; ВЫСОСАТЬ ИЗ ПАЛЬЦА; НАФАНТАЗИРОВАТЬ; ПРИДУМАТЬ; НАПРИДУМАТЬ; ПРИМЫСЛИТЬ; ПРИМЫШЛЯТЬ; СОЧИНИТЬ; СОЧИНЯТЬ; ВЫМЫСЛИТЬ; ФАНТАЗИРОВАТЬ; ВЫДУМЫВАТЬ; ВЫДУМАТЬ	["111983-V", "111668-V"]	["ПОДБАВЛЯТЬ; ПРИБАВИТЬ; ПРИПЛЮСОВАТЬ; ДОБАВЛЯТЬ; ПОДБАВИТЬ; ПРИБАВЛЯТЬ; ДОБАВИТЬ; ПРИПЛЮСОВЫВАТЬ", "ПРИСОЕДИНИТЬ; ПРИСОЕДИНЯТЬ"]
124595-V	ПЕРЕТРЯСАТЬ; ПЕРЕТРЯСТИ; ПЕРЕТРЯХИВАТЬ; ПЕРЕТРЯХНУТЬ	["111656-V", "111021-V", "116221-V"]	["РОНЯТЬ; УРОНИТЬ", "ВЫБРАСЫВАТЬСЯ; ВЫШВЫРИВАТЬ; ВЫКИНУТЬ; ВЫКИДЫВАТЬСЯ; БРОСАТЬ; ВЫБРОСИТЬ; ВЫШВЫРНУТЬ; ВЫБРАСЫВАТЬ; ВЫКИДЫВАТЬ; БРОСИТЬ", "ВЫТРЯХНУТЬ; ВЫТРЯСТИ; ВЫТРЯХИВАТЬ"]
124595-V	ПЕРЕТРЯСАТЬ; ПЕРЕТРЯСТИ; ПЕРЕТРЯХИВАТЬ; ПЕРЕТРЯХНУТЬ	["115544-V", "111144-V"]	["ВСТРЯХИВАТЬ; ВСТРЯХНУТЬ", "ПОТРЯХИВАТЬ; ЗАТРЯСТИ; ПОТРЯСТИ; ТРЯХНУТЬ; ТРЯСТИ"]
136971-V	РАСПОТРОШИТЬ; ВЫПОТРОШИТЬ; ВЫПОТРОШИТЬ СОДЕРЖИМОЕ; ПОТРОШИТЬ	["116221-V", "110752-V", "110908-V", "111021-V", "110910-V", "111656-V"]	["ВЫТРЯХНУТЬ; ВЫТРЯСТИ; ВЫТРЯХИВАТЬ", "ОПОРОЖНЯТЬ; ОПУСТОШИТЬ; ОПОРАЖНИВАТЬ; ОПУСТОШАТЬ; ОПОРОЖНИТЬ", "ВЫВЕСТИ; УДАЛЯТЬ; УДАЛЯТЬ НАРУЖУ; УДАЛИТЬ НАРУЖУ; ВЫВЕСТИ НАРУЖУ; ВЫВЕСТИСЬ; ВЫВОДИТЬ; ВЫВОДИТЬ ЗА ПРЕДЕЛЫ; УДАЛЯТЬСЯ; ВЫВОДИТЬ НАРУЖУ; ВЫВОДИТЬСЯ; УДАЛИТЬ; ВЫВЕСТИ ЗА ПРЕДЕЛЫ", "ВЫБРАСЫВАТЬСЯ; ВЫШВЫРИВАТЬ; ВЫКИНУТЬ; ВЫКИДЫВАТЬСЯ; БРОСАТЬ; ВЫБРОСИТЬ; ВЫШВЫРНУТЬ; ВЫБРАСЫВАТЬ; ВЫКИДЫВАТЬ; БРОСИТЬ", "ВЫНИМАТЬ; ВЫНУТЬ", "РОНЯТЬ; УРОНИТЬ"]
136971-V	РАСПОТРОШИТЬ; ВЫПОТРОШИТЬ; ВЫПОТРОШИТЬ СОДЕРЖИМОЕ; ПОТРОШИТЬ	["119076-V", "118698-V"]	["ИСКАТЬ; ВЕСТИ ПОИСКИ; ПОИСКАТЬ; ПРОИСКАТЬ", "СОВЕРШИТЬ ДЕЙСТВИЕ; ДЕЛАТЬ; ДЕЙСТВОВАТЬ; СДЕЛАТЬ; СОВЕРШАТЬ ДЕЙСТВИЕ; ДЕЛАТЬСЯ"]
4340-V	ДРЕНАЖИРОВАТЬ; ДРЕНИРОВАТЬ	["3844-V", "253-V"]	["ОСУШИТЬ; ОСУШАТЬ", "УЛУЧШИТЬ ПОЧВЫ; УЛУЧШАТЬ ПОЧВЫ; УЛУЧШАТЬ ЗЕМЛЮ; УЛУЧШИТЬ ЗЕМЛЮ; МЕЛИОРИРОВАТЬ"]
4340-V	ДРЕНАЖИРОВАТЬ; ДРЕНИРОВАТЬ	["106631-V", "121004-V"]	["ВНОСИТЬ ИЗМЕНЕНИЯ; ПЕРЕМЕНИТЬ; МЕНЯТЬ; ИЗМЕНЯТЬ; ИЗМЕНИТЬ; ВНЕСТИ ИЗМЕНЕНИЯ", "ОТВЕСТИ; ОТВЕСТИ В ДРУГОЕ НАПРАВЛЕНИЕ; ОТВОДИТЬ; ОТВЕСТИ В СТОРОНУ"]
116657-V	ВТЕРЕТЬСЯ; ВТИРАТЬСЯ	["144632-V", "113962-V", "115965-V"]	["ВТЯГИВАТЬСЯ; ВТЯНУТЬСЯ; ВБИРАТЬСЯ; ВОБРАТЬСЯ", "ВХОДИТЬ ВНУТРЬ; ВОЙТИ ВНУТРЬ; ЗАХОДИТЬ ВНУТРЬ; ЗАХОДИТЬ; ЗАЙТИ ВНУТРЬ; ЗАЙТИ; ВХОДИТЬ; ВСТУПИТЬ ВНУТРЬ; ВСТУПИТЬ; ВОЙТИ; ВСТУПАТЬ", "ВПИТЫВАТЬСЯ; ВПИТАТЬСЯ"]
119109-V	ВЪЕСТЬСЯ; ВЪЕДАТЬСЯ	["144632-V", "113962-V", "115965-V"]	["ВТЯГИВАТЬСЯ; ВТЯНУТЬСЯ; ВБИРАТЬСЯ; ВОБРАТЬСЯ", "ВХОДИТЬ ВНУТРЬ; ВОЙТИ ВНУТРЬ; ЗАХОДИТЬ ВНУТРЬ; ЗАХОДИТЬ; ЗАЙТИ ВНУТРЬ; ЗАЙТИ; ВХОДИТЬ; ВСТУПИТЬ ВНУТРЬ; ВСТУПИТЬ; ВОЙТИ; ВСТУПАТЬ", "ВПИТЫВАТЬСЯ; ВПИТАТЬСЯ"]
123373-V	ВСОСАТЬСЯ; ВСАСЫВАТЬСЯ	["144632-V", "113962-V", "115965-V"]	["ВТЯГИВАТЬСЯ; ВТЯНУТЬСЯ; ВБИРАТЬСЯ; ВОБРАТЬСЯ", "ВХОДИТЬ ВНУТРЬ; ВОЙТИ ВНУТРЬ; ЗАХОДИТЬ ВНУТРЬ; ЗАХОДИТЬ; ЗАЙТИ ВНУТРЬ; ЗАЙТИ; ВХОДИТЬ; ВСТУПИТЬ ВНУТРЬ; ВСТУПИТЬ; ВОЙТИ; ВСТУПАТЬ", "ВПИТЫВАТЬСЯ; ВПИТАТЬСЯ"]
119373-V	ПРОРВАТЬСЯ ЧЕРЕЗ ПРЕПЯТСТВИЕ; ПРОРЫВАТЬСЯ; ПРОРЫВАТЬ; ПРОРВАТЬСЯ ЧЕРЕЗ ПРЕГРАДУ; ПРОРВАТЬСЯ СИЛОЙ; ПРОРВАТЬСЯ; ПРОРВАТЬ; ПРОБИТЬСЯ ЧЕРЕЗ ПРЕПЯТСТВИЕ; ПРОРЫВАТЬСЯ ЧЕРЕЗ ПРЕГРАДУ; ПРОБИТЬСЯ; ПРОБИВАТЬСЯ; ПРОРЫВАТЬСЯ ЧЕРЕЗ ПРЕПЯТСТВИЕ	["107470-V", "126274-V", "115524-V", "115522-V", "117932-V", "111845-V"]	["ШАГАТЬ; ХОДИТЬ ПЕШКОМ; ХОДИТЬ; СТУПАТЬ; ПРОХОДИТЬ; ПРОЙТИСЬ; ПРОЙТИ РАССТОЯНИЕ; ПРОЙТИ; ПОХОДИТЬ; ПОТОПАТЬ; ПОЙТИ; ОТШАГИВАТЬ; ОТШАГАТЬ; ОТТОПАТЬ; ИДТИ ПЕШКОМ; ИДТИ НОГАМИ; ИДТИ; ЗАШАГАТЬ; ЗАХОДИТЬ; ЗАТОПАТЬ; ВЫШАГИВАТЬ", "ДОЙТИ; ПРИХОДИТЬ К МЕСТУ; ДОШАГИВАТЬ; ЗАЯВИТЬСЯ; ЗАЯВЛЯТЬСЯ; ПРИХОДИТЬ; ПРИЙТИ; ДОШАГАТЬ; ПРИЙТИ К МЕСТУ; ДОХОДИТЬ; ДОЙТИ К МЕСТУ", "ДОХОДИТЬ; ПРИБЫТЬ; ДОЙТИ; ЯВИТЬСЯ; ПРИБЫТЬ НА МЕСТО; ЯВЛЯТЬСЯ; ЯВИТЬСЯ НА МЕСТО; ПРИБЫВАТЬ", "ДОБРАТЬСЯ ДО МЕСТА; ДОБРАТЬСЯ; ДОБИРАТЬСЯ; ДОБРАТЬСЯ ДО ЦЕЛИ; ДОСТИГНУТЬ; ДОСТИЧЬ; ДОСТИЧЬ МЕСТА; ДОСТИГАТЬ МЕСТА; ДОСТИГАТЬ", "ПРОБИРАТЬСЯ; С ТРУДОМ ПРОНИКНУТЬ; ПРОБРАТЬСЯ", "ПРОНИКАТЬ; ПРОНИКНУТЬ; ПРОНИКНУТЬ ВНУТРЬ"]
139436-V	ПРОСОЧИТЬСЯ; ПРОСАЧИВАТЬСЯ	["111845-V", "115522-V", "117932-V"]	["ПРОНИКАТЬ; ПРОНИКНУТЬ; ПРОНИКНУТЬ ВНУТРЬ", "ДОБРАТЬСЯ ДО МЕСТА; ДОБРАТЬСЯ; ДОБИРАТЬСЯ; ДОБРАТЬСЯ ДО ЦЕЛИ; ДОСТИГНУТЬ; ДОСТИЧЬ; ДОСТИЧЬ МЕСТА; ДОСТИГАТЬ МЕСТА; ДОСТИГАТЬ", "ПРОБИРАТЬСЯ; С ТРУДОМ ПРОНИКНУТЬ; ПРОБРАТЬСЯ"]
116172-V	КЛАСТЬ ЯЙЦА; СНЕСТИСЬ; СНЕСТИ; ОТКЛАДЫВАТЬ ЯЙЦА; НЕСТИСЬ; НЕСТИ ЯЙЦА; СНЕСТИ ЯЙЦО	["116173-V", "116100-V"]	["ОТЛОЖИТЬ; КЛАСТЬ; ОТКЛАДЫВАТЬ", "ВЫВОДИТЬСЯ; ВЫВЕСТИСЬ; ВЫВОДИТЬ; ВЫВОДИТЬ ДЕТЕНЫШЕЙ; ПОВЫВЕСТИСЬ; ВЫВЕСТИ; ВЫВЕСТИ ДЕТЕНЫШЕЙ"]
115601-V	САДНИТЬ; СВЕРБЕТЬ	["106915-V", "120185-V"]	["ОЩУЩАТЬ; ОЩУТИТЬ; ИСПЫТЫВАТЬ ОЩУЩЕНИЕ; ПОЧУВСТВОВАТЬ; ВОСПРИНИМАТЬ; ЧУВСТВОВАТЬ; ВОСПРИНИМАТЬСЯ; ВОСПРИНЯТЬ", "ЗУДЕТЬ; ЗУДИТЬ; ИСПЫТЫВАТЬ ЗУД"]
120186-V	ЩЕКОТАТЬ	["106915-V", "120185-V"]	["ОЩУЩАТЬ; ОЩУТИТЬ; ИСПЫТЫВАТЬ ОЩУЩЕНИЕ; ПОЧУВСТВОВАТЬ; ВОСПРИНИМАТЬ; ЧУВСТВОВАТЬ; ВОСПРИНИМАТЬСЯ; ВОСПРИНЯТЬ", "ЗУДЕТЬ; ЗУДИТЬ; ИСПЫТЫВАТЬ ЗУД"]
140767-V	ЗАЧЕСАТЬСЯ; ЧЕСАТЬСЯ	["106915-V", "120185-V"]	["ОЩУЩАТЬ; ОЩУТИТЬ; ИСПЫТЫВАТЬ ОЩУЩЕНИЕ; ПОЧУВСТВОВАТЬ; ВОСПРИНИМАТЬ; ЧУВСТВОВАТЬ; ВОСПРИНИМАТЬСЯ; ВОСПРИНЯТЬ", "ЗУДЕТЬ; ЗУДИТЬ; ИСПЫТЫВАТЬ ЗУД"]
142317-V	ПРОДВИГАТЬ НА РЫНОК; ПРОДВИГАТЬ ТОВАР	["147492-V", "1885-V", "141310-V"]	["РАСКРУТИТЬ; РАСКРУЧИВАТЬ", "РАСПРОСТРАНИТЬ ИНФОРМАЦИЮ; ЦИРКУЛИРОВАТЬ; РАСПРОСТРАНЯТЬ ИНФОРМАЦИЮ; РАСПРОСТРАНЯТЬ МАССОВУЮ ИНФОРМАЦИЮ; ЦИРКУЛИРУЕТ ИНФОРМАЦИЯ", "СДВИГАТЬ С МЕРТВОЙ ТОЧКИ; СДВИНУТЬ С МЕРТВОЙ ТОЧКИ; СДВИНУТЬСЯ С МЕРТВОЙ ТОЧКИ; ТРОНУТЬСЯ С МЕРТВОЙ ТОЧКИ; ДВИНУТЬСЯ С МЕРТВЫЙ ТОЧКА; ПРОДВИГАТЬ; ПРОДВИНУТЬ; СДВИГАТЬСЯ С МЕРТВОЙ ТОЧКИ"]
142317-V	ПРОДВИГАТЬ НА РЫНОК; ПРОДВИГАТЬ ТОВАР	["106709-V", "106686-V", "106898-V", "106897-V"]	["УЗНАТЬ НОВОЕ; УЗНАВАТЬ НОВОЕ; УЗНАВАТЬ; ПОЛУЧИТЬ СВЕДЕНИЯ; ПОЛУЧАТЬ СВЕДЕНИЯ; УЗНАТЬ НОВУЮ ИНФОРМАЦИЮ; УЗНАТЬ; УЗНАВАТЬ НОВУЮ ИНФОРМАЦИЮ", "ПОНАБЛЮДАТЬ; ПРОНАБЛЮДАТЬ; ПРОИЗВОДИТЬ ИССЛЕДОВАНИЕ; ПРОИЗВЕСТИ ИССЛЕДОВАНИЕ; ПРОВОДИТЬ ИССЛЕДОВАНИЕ; ПРОВЕСТИ ИССЛЕДОВАНИЕ; НАБЛЮДАТЬ; ИССЛЕДОВАТЬ; ИЗУЧИТЬ; ИЗУЧАТЬ", "РАССМОТРЕТЬ ВОПРОС; ДОРАССМОТРЕТЬ; ПРОАНАЛИЗИРОВАТЬ; РАЗБИРАТЬ; РАЗОБРАТЬ; РАССМАТРИВАТЬ; РАССМОТРЕТЬ", "ПРОВЕСТИ АНАЛИЗ; АНАЛИЗИРОВАТЬ"]
128332-V	УШИТЬ; УШИВАТЬ	["127237-V", "106638-V"]	["СУЖАТЬ; СУЖИВАТЬ; УМЕНЬШИТЬ ШИРИНУ; УМЕНЬШИТЬ В ШИРИНУ; УМЕНЬШАТЬ ШИРИНУ; УМЕНЬШАТЬ В ШИРИНУ; СУЗИТЬ", "УМЕНЬШИТЬ; УМЕНЬШАТЬ"]
128332-V	УШИТЬ; УШИВАТЬ	["110801-V", "116817-V"]	["НАШИТЬ; ДОШИТЬ; НАШИВАТЬ; ДОШИВАТЬ; ПОШИТЬ; СШИТЬ; ШИТЬ", "ПЕРЕШИТЬ; ПЕРЕШИВАТЬ"]
7724-V	ВЫХОДИТЬ В ЭФИР; ВЫЙТИ В ЭФИР	["1374-V", "113973-V", "110447-V"]	["ВЕЩАТЬ; ВЕСТИ ВЕЩАНИЕ", "ПЕРЕДАВАТЬ; ПЕРЕДАТЬ", "ВОСПРОИЗВОДИТЬ; ВОСПРОИЗВЕСТИ"]
117873-V	СВОДИТЬ; ПЕРЕВОДИТЬ; ПЕРЕВЕСТИ; СВЕСТИ	["111619-V", "111626-V", "111623-V", "111627-V", "107005-V", "110447-V"]	["СКОПИРОВАТЬ; ДЕЛАТЬ КОПИЮ; КОПИРОВАТЬ; СДЕЛАТЬ КОПИЮ; СНИМАТЬ КОПИЮ; СНЯТЬ КОПИЮ", "ПЕРЕЧЕРЧИВАТЬ; ПЕРЕЧЕРТИТЬ", "СРИСОВЫВАТЬ; СРИСОВАТЬ; ПЕРЕРИСОВАТЬ; ПЕРЕРИСОВЫВАТЬ", "ПЕРЕЧЕРЧИВАТЬ; СЧЕРТИТЬ; СКОПИРОВАТЬ ЧЕРТЕЖ; СЧЕРЧИВАТЬ; ПЕРЕЧЕРТИТЬ", "СДЕЛАТЬ РИСУНОК; ПОРИСОВАТЬ; ДОРИСОВЫВАТЬ; ЗАРИСОВАТЬ; ДОРИСОВАТЬ; ДЕЛАТЬ РИСУНОК; ПРОРИСОВАТЬ; РИСОВАТЬ; РИСОВАТЬСЯ; ЗАРИСОВЫВАТЬ; НАРИСОВАТЬ", "ВОСПРОИЗВОДИТЬ; ВОСПРОИЗВЕСТИ"]
145151-V	ПРОАНАЛИЗИРОВАТЬ ИНФОРМАЦИЮ; АНАЛИЗИРОВАТЬ ДАННЫЕ; АНАЛИЗИРОВАТЬ ИНФОРМАЦИЮ; ПРОАНАЛИЗИРОВАТЬ ДАННЫЕ	["106686-V", "106898-V", "106897-V"]	["ПОНАБЛЮДАТЬ; ПРОНАБЛЮДАТЬ; ПРОИЗВОДИТЬ ИССЛЕДОВАНИЕ; ПРОИЗВЕСТИ ИССЛЕДОВАНИЕ; ПРОВОДИТЬ ИССЛЕДОВАНИЕ; ПРОВЕСТИ ИССЛЕДОВАНИЕ; НАБЛЮДАТЬ; ИССЛЕДОВАТЬ; ИЗУЧИТЬ; ИЗУЧАТЬ", "РАССМОТРЕТЬ ВОПРОС; ДОРАССМОТРЕТЬ; ПРОАНАЛИЗИРОВАТЬ; РАЗБИРАТЬ; РАЗОБРАТЬ; РАССМАТРИВАТЬ; РАССМОТРЕТЬ", "ПРОВЕСТИ АНАЛИЗ; АНАЛИЗИРОВАТЬ"]
